Article title,Year,Author(s),No. Author(s),Type of institution,Name of the institution(s),No. institution(s),Study area,No. Study area,Country of study,Region,Country Development level,Size of companies,Journal,Journal field,FI - SJR,Quartile SJR,FI - JIF,Quartile JCR,Keywords,Article approach,Methodology,Type,Orientation,Theory,Determinants,Barriers,Characteristic of sustainable value creation,CSV Related to other concepts and theories
"The importance of performance measurement and management in sustainable supply chain governance
among SMEs",2024,"Sohns, T. M., Aysolmaz, B., Figge, L., Joshi, A.",2,University,"LUT University, Tampere University",2,,2,Finland,Europe,Developed,SMEs,International Journal of Operations & Production Management,Specific,2.87,Q1,7.1,Q1,"Performance management, Supply chain management, Sustainability performance,
Business performance, Supply chain governance, Demand-side governance, Supply-side governance,
Small and medium sized enterprises, SME",Quantitative,Structural equation modelling (SEM),Survey,Predictive,organizational control,"Governance, stakeholders, customers and suppliers",limited resources,"Sustainability performance, s Performance management",Supply chain
"Understanding creative enterprise creation, functionality and sustainability from the lenses of Ghanaian creative entrepreneurs",2024,Mohammed-Aminu Sanda; Rufai Haruna Kilu; Ana Alacovska,3,University,University of Ghana Business School; University of Professional Studies; Copenhagen Business School,3,Business & Management; Entrepreneurship,2,Ghana,Africa,Developing,SMEs,Cogent Business & Management,Multidisciplinary,0.567,Q2,3.936,Q2,creative entrepreneurship; creative enterprise creation; creative enterprise functionality; creative enterprise sustainability; Ghana,Qualitative,Descriptive & thematic analysis; sense-making,Interviews,Exploratory,Business Canvas Model,Government & investor support; regulatory policies; cultural appreciation,Lack of governmental & investor support; high production costs; poor skills teaching; unfavourable regulations; cultural non-appreciation,Viability; innovative policy spaces; sustainable performance,Institutional Theory; Business Model Canvas; sense-making
Corporate sustainability towards creating shared value: an empirical quantitative evidence from Indonesia,2024,Liana Rahardja,1,University,STIE Jakarta International College,1,Business & Management; Environmental Science,2,Indonesia,Asia,Developing,Large publicly listed companies,"Environment, Development and Sustainability",Multidisciplinary,0.958,Q1,4.7,Q2,Five bottom line; Triple bottom line; Sustainability; Creating shared value; Indonesia,Quantitative,Panel data OLS regression; lead-lag analysis,Empirical quantitative,Predictive,Extended TBL (Five Bottom Line) & CSV theory,Financial performance; Environmental performance; Social performance; Governance performance; Empowerment performance,Social performance (negative effect on CSV); Governance performance (no influence on CSV),Increased revenue; profitability; environmental outcomes; empowerment metrics over time,Reconceiving products & markets; redefining value-chain productivity; enabling cluster development
Relationship between knowledge transfer and sustainable innovation in interorganizational environments of small and medium-sized enterprises,2024,"Paredes-Chacín, A. J.; Díaz-Bejarano, S.; Marín-González, F.; Vega-Ramírez, E.",4,University,Universidad Autónoma de Occidente; Universidad del Valle; Universidad de la Costa; Universidad del Atlántico,4,Business & Management; Information Systems,2,Colombia,South America,Developing,SMEs,"Journal of Entrepreneurship, Management and Innovation",Specific,0.45,Q2,N/A,N/A,knowledge transfer; sustainable innovation; interorganizational environments; knowledge management; Small and Medium-sized Enterprises; SMEs; intangible assets; Colombia,Quantitative,Questionnaire survey; Mann-Whitney U test; K-means clustering; Principal Component Analysis (PCA),Survey,Exploratory,Knowledge-based View (KBV),Knowledge production; Information technologies; Knowledge management systems,Weak interorganizational links; limited stakeholder support,Sustainable innovation performance; Interorganizational sustainability,System of relations between knowledge transfer components and sustainable innovation processes
Challenges and opportunities in sustainability reporting: a focus on small and medium enterprises (SMEs),2024,"Setyaningsih, S.; Widjojo, R.; Kelle, P.",3,University,Széchenyi István University; Indonesian International Institute of Life Sciences; Louisiana State University,3,Environmental Policy; Environmental Management; Environment & Business; Sustainable Development; Business & Management,5,Global,Multiple,Mixed,SMEs,Cogent Business & Management,Multidisciplinary,0.567,Q2,3,Q2,Sustainability reporting; small and medium-sized enterprises; reporting barriers; environmental; governance; social responsibility,Secondary,Systematic literature review,Secondary research,Descriptive,Systematic Review Framework,Governance practices; social responsibility; environmental impact,Financial; general attitude; knowledge & technology; organizational; policies & regulation; socio-environmental,Improved understanding of SME reporting challenges; pathway to enhance reporting quality,Global Reporting Initiative (GRI); ESG frameworks
Strategic supplier selection and order allocation for sustainable development of small and medium-sized enterprises: insights from a case study,2024,Ganesh Narkhede,1,University,"Vishwakarma Institute of Information Technology, Pune, India",1,Operations Management; Supply Chain Mgmt.,2,India,Asia,Developing,SMEs,Journal of Global Operations and Strategic Sourcing,Specific,0.936,Q2,3.8,Q2,SMEs; Supplier selection and order allocation; Sustainable development; MARCOS; Wagner-Whitin algorithm; Quantity discounts,Quantitative,AHP; MARCOS ranking; Wagner-Whitin lot-sizing; case study of a manufacturing SME,Case study,Predictive,Multi-Criteria Decision Making; Inventory Control Theory,Net price; Production technology; Quantity discount; Financial stability; Supplier location,Lack of expertise; limited resources; technological constraints; narrow focus on cost-only criteria,28.57% total cost savings; fewer stock-outs; enhanced operational efficiency; competitive sourcing,Links sustainable development with strategic sourcing and quantitative decision frameworks
"Understanding the interplay between sustainability strategy and the approach to sustainability reporting in SMEs

",2024,Michele Guidi; Sonia Vitali; Marco Giuliani; Maria Serena Chiucchi,4,University,Università Politecnica delle Marche,1,Business & Management; Sustainability Reporting,2,Italy,Europe,Developed,SMEs,Journal of Management & Organization,Specific,0.822,Q2,3.1,Q2,sustainability reporting; sustainability strategy; small- and medium-sized enterprises; SME; case study,Qualitative,Case study (Eisenhardt protocol); document analysis; semi-structured interviews,Qualitative case study,Exploratory,Baumgartner’s sustainability strategy map; Burritt & Schaltegger’s reporting approaches,Owner-manager values; stakeholder proximity; supply chain dynamics; regulatory pressure,Limited reporting knowledge; voluntary regime; resource & time constraints,Reporting as strategic tool; alignment of disclosure with strategy; stakeholder engagement,GRI/CSRD frameworks; sustainability management; strategic alignment
User-Centered Development of an Online Dashboard Tool for Economic Sustainability for Small and Medium Enterprises,2024,"Bennett, A. W.; Müller Loose, S.",2,University,Hochschule Geisenheim University,1,Information Systems; Decision Support Systems; Business & Management,3,Germany,Europe,Developed,SMEs,Sustainability,Multidisciplinary,0.672,Q2,3.3,Q2,economic sustainability; usability; benchmarking; key performance indicators; SME; dashboard development,Qualitative,User-centered development process: 24 in-depth interviews; semi-structured usability tests; iterative design (VISM 2.0),Design research,Exploratory,VISM 2.0 user-centered design; Labuschagne et al. economic sustainability framework,"Producers’ requirements for KPI assessment; usability needs; stakeholder engagement 
",Lack of dynamic tools; limited SME resources; static PDF reports with poor usability,Interactive dashboard enabling KPI‐based decision support; enhanced economic sustainability awareness; real-time benchmarking,Links to MIS/DSS theory; benchmarking; KPI frameworks; triple bottom line
Overcoming Barriers to Sustainable Supply Chain Management in Small and Medium-Sized Enterprises: A Multi-Criteria Decision-Making Approach,2024,Hugo Gonçalves; Vanessa S. M. Magalhães; Luís M. D. F. Ferreira; Amílcar Arantes,4,University,University of Coimbra; Instituto Superior Técnico (Universidade de Lisboa),2,Business & Management; Engineering; Environmental Science,3,Portugal,Europe,Developed,SMEs,Sustainability,Multidisciplinary,0.672,Q2,3.9,Q2,sustainable supply chain management; sustainability; best–worst method; multi-criteria decision-making; barriers; SMEs,Mixed,Literature review; Focus group discussions; Best–Worst Method (BWM),Mixed methods,Exploratory,Triple Bottom Line; Multi-Criteria Decision Making,Technological capacity; financial resources; institutional support; managerial commitment; human skills; consumer engagement; information systems; strategic planning; cultural factors,"Lack of funds for sustainable practices; lack of laws and incentives; insufficient R&D and innovation capacity; high cost of implementation & maintenance; insufficient capital; low top-management commitment; inadequate institutional framework; high perceived investment risk; lack of training and information systems; insufficient consumer support; inadequate strategic planning; corruption; pressure for lower prices 
",Identification and prioritization of key barriers; development of a set of replicable strategies to improve sustainable supply chain performance in SMEs,"Linked to the TBL approach and MCDM (BWM) methods, it bridges the gap between CSV and sustainable operational management."
Relationships between Sustainable Operations and the Resilience of SMEs,2024,Kinga Nagyné Pércsi; Zsolt Fülöp,2,University,Hungarian University of Agriculture and Life Sciences,1,Business & Management; Environmental Science,2,Hungary,Europe,Developed,SMEs,Sustainability,Multidisciplinary,0.672,Q3,3.95,Q3,sustainability goals; SME; IMC; COVID-19; gender equality,Quantitative,Questionnaire survey; logistic regression; K-means clustering; factor analysis,Survey,Exploratory & Predictive,Dynamic Capabilities Theory,Environmental protection investments; use of IMC tools; gender equality orientation,Limited financial & organizational resources; lack of protective scale,Enhanced enterprise resilience; sustained performance during crises,Triple Bottom Line & ESG frameworks
Quo Vadis Sustainable Entrepreneurship? A Systematic Literature Review of Related Drivers and Inhibitors in SMEs,2024,"Ferreira, N. C. M. Q. F.; Ferreira, J. J. M.",2,University,University of Beira Interior; Queensland University of Technology,2,Business & Management; Entrepreneurship; Bibliometrics,3,Global,Multiple,Mixed,SMEs,IEEE Transactions on Engineering Management,Specific,1.201,Q1,4.6,Q1,Bibliometric analysis; small and medium-sized enterprise; sustainable entrepreneurship; systematic literature review,Secondary,"Bibliographic coupling; co-citation analysis (VOSviewer, Bibliometrix, SciMAT)",Systematic literature review,Descriptive,Triple Bottom Line,Sustainable entrepreneurial orientation; organization; performance; networks; contexts; sustainable practices,Resource constraints; lack of specialized staff; bureaucracy; unsuitable investors; selective implementation of practices,"Holistic mapping of SE drivers/inhibitors in SMEs; thematic clusters across TBL dimensions 
","Linked to TBL, CSR, stakeholder theory, circular economy and green entrepreneurship frameworks"
Managing switching effects in sustainable projects: case studies,2024,Ilaria Guandalini; Li Zhou; Wenxian Sun,3,University,"School of Business, Operations & Strategy, Faculty of Business, University of Greenwich (both authors)",1,Operations Management; Sustainability Management,2,Multiple,Multiple,Mixed,Large,Production Planning & Control,Operations Management,2.02,Q1,10.23,Q1,Switching costs (SC); sustainability; environmental; social and governance (ESG); corporate financial performance (CFP); organisational strategy; sustainable value creation (SVC),Mixed,"Multiple case-study analysis with four firms; semi-structured interviews, surveys and email exchanges; iterative co-creation of a Switching Effects framework",Case study,Exploratory,Switching Costs theory; Sustainable Value Creation (SVC) framework,Switching effects categories (Setup & Execution; Search; Continuity; Performance & Time; Learning; Financial; Uncertainty; Sunk) across six societal objectives,High setup & execution costs; uncertainty costs; sunk costs; financial and learning costs associated with SP implementation,"Framework for evaluating SPs through net switching benefits vs. costs, enabling strategic alignment of sustainability and profit objectives",Linked to Porter & Kramer’s Creating Shared Value; ESG and TBL frameworks; Resource-Orchestration approaches
"Expanding digitalisation for subsistence and sustainability in the heart of Europe, based on the examples of Hungarian companies",2023,"Katona, A.; Birkner, Z.; Péter, E.",3,University,"University of Pannonia – University Center for Circular Economy, Institute of Applied Management Sciences (HU)",1,Digitalisation & Industry 4.0; Corporate strategy; SME competitiveness; COVID-19 impact; Digital public services,5,Hungary,Europe,Developed,SMEs (plus medium & large),Progress in Agricultural Engineering Sciences,Specific (Agri/Process Eng.),0.258,Q3,N/A,N/A,Industry 4.0; industrial digitalisation; SMEs; corporate strategy; subsistence; sustainability; COVID-19; DESI; Hungary,Mixed,"Exploratory quantitative survey (140 managers) + qualitative (2 case studies, 3 structured interviews)",Empirical study,Exploratory,Technology adoption; digital transformation,Drivers: competitiveness; efficiency gains; market position; survival during COVID-19; DESI incentives; managerial interest; grant funding,"Barriers: lack of knowledge; resource constraints; teacher shortage of digital skills; uncertainty about ROI; high implementation cost 
","Digitalisation as enabler of leaner, more resilient operations; supports subsistence of SMEs & alignment with EU sustainability targets",Linked to DESI/Digital Compass 2030; Industry 4.0 frameworks; Sustainable Development Goals; resilience theory
