title;rank;total_ratings;installs;average rating;growth (30 days);growth (60 days);price;category;5_star_ratings;4 star ratings;3 star ratings;2 star ratings;1 star ratings;paid;US_Sales;EU_sales;JP_sales;Global_sales;User_rating;Critic_Rating;
Garena Free Fire- World Series;1;86273129;500.0 M;4;2,1;6,9;0;GAME_ACTION;63546766;4949507;3158756;2122183;12495915;FALSE;80452;195351;17452;460879;4;64;
PUBG MOBILE - Traverse;2;37276732;500.0 M;4;1,8;3,6;0;GAME_ACTION;28339753;2164478;1253185;809821;4709492;FALSE;45945;74379;189078;575489;6;71;
Mobile Legends: Bang Bang;3;26663595;100.0 M;4;1,5;3,2;0;GAME_ACTION;18777988;1812094;1050600;713912;4308998;FALSE;156427;91086;46728;526243;6,1;49;
Brawl Stars;4;17971552;100.0 M;4;1,4;4,4;0;GAME_ACTION;13018610;1552950;774012;406184;2219794;FALSE;20888;39398;23993;287526;6;37;
Sniper 3D: Fun Free Online FPS Shooting Game;5;14464235;500.0 M;4;0,8;1,5;0;GAME_ACTION;9827328;2124154;1047741;380670;1084340;FALSE;190410;31324;76045;377477;2,9;41;
Call of Duty®: Mobile - Season 4: Spurned & Burned;6;13572148;100.0 M;4;2;4;0;GAME_ACTION;10501443;1274162;517273;268489;1010778;FALSE;65689;155735;156687;632492;9,8;78;
Among Us;7;11936964;100.0 M;3;1,8;5,6;0;GAME_ACTION;5954262;1041297;853099;719378;3368926;FALSE;84056;183386;14725;348834;2,9;68;
Temple Run 2;8;9633929;500.0 M;4;0,3;0,8;0;GAME_ACTION;6579369;991341;614643;349003;1099571;FALSE;125398;38287;86393;491610;5,4;10;
PUBG MOBILE LITE;9;7578630;100.0 M;4;1;2,5;0;GAME_ACTION;5382545;500696;351523;238986;1104879;FALSE;165941;113675;32054;404209;4,6;38;
Gangstar Vegas: World of Crime;10;6268377;100.0 M;4;0,4;1;0;GAME_ACTION;4509647;605510;319332;167792;666094;FALSE;189343;59046;119566;420973;8;83;
Pixel Gun 3D: FPS Shooter & Battle Royale;11;5681934;100.0 M;4;0,2;0,5;0;GAME_ACTION;3866308;527159;326294;186593;775578;FALSE;127786;192745;5462;449920;8,3;55;
Bowmasters;12;5471344;100.0 M;4;2;4,1;0;GAME_ACTION;4319351;514574;229990;98901;308525;FALSE;67045;19752;70573;449130;1,4;22;
Standoff 2;13;4801658;50.0 M;4;3;7,6;0;GAME_ACTION;3884644;365380;135150;65422;351059;FALSE;134336;197682;183769;720297;7,7;71;
Talking Tom Gold Run;14;4710639;100.0 M;4;1,3;4012,8;0;GAME_ACTION;3581634;397794;200800;116460;413948;FALSE;15262;125464;98839;477390;8,2;25;
Garena Liên Quân Mobile;15;4564398;50.0 M;4;1;2,7;0;GAME_ACTION;3142312;386513;204843;111645;719082;FALSE;143973;35361;195025;466527;3,4;36;
Banana Kong;16;4496723;100.0 M;4;0,5;1;0;GAME_ACTION;3497817;518453;223009;72115;185328;FALSE;118029;72814;152145;524840;7,5;85;
Crossy Road;17;4464668;100.0 M;4;0,1;0,2;0;GAME_ACTION;3379550;576816;234463;68644;205194;FALSE;24737;44871;28091;357381;7,2;91;
War Robots. 6v6 Tactical Multiplayer Battles;18;4221389;50.0 M;3;692,7;0,6;0;GAME_ACTION;2634036;450688;267931;164087;704645;FALSE;138538;134737;121431;527313;3,9;93;
MORTAL KOMBAT: The Ultimate Fighting Game!;19;4215808;50.0 M;4;0,5;1,2;0;GAME_ACTION;2874353;457806;254154;136153;493340;FALSE;157637;131601;154150;590551;6,7;18;
Last Day on Earth: Survival;20;4159837;50.0 M;4;0,7;1,6;0;GAME_ACTION;3073534;463932;205166;103198;314004;FALSE;12188;173453;1931;332598;1,7;58;
Agar.io;21;4112075;100.0 M;3;0,2;0,3;0;GAME_ACTION;2493810;428315;289428;156522;743997;FALSE;137170;45091;181740;512462;6,5;43;
DEER HUNTER CLASSIC;22;3987062;100.0 M;4;0;0;0;GAME_ACTION;2776350;614755;242698;81199;272058;FALSE;93719;184565;184501;712344;2;88;
Modern Combat 5: eSports FPS;23;3516024;100.0 M;4;0,5;1;0;GAME_ACTION;2419540;421218;214049;100008;361206;FALSE;45904;111800;104954;562095;3;81;
Kick the Buddy;24;3213257;100.0 M;4;1;2,3;0;GAME_ACTION;2174466;265019;189630;118612;465528;FALSE;121492;130530;118469;404407;9,7;54;
Special Forces Group 2;25;3195503;100.0 M;4;1,4;7584,9;0;GAME_ACTION;2486283;232254;118927;70889;287147;FALSE;60046;96154;94107;397432;2,1;83;
DEAD TRIGGER 2 - Zombie Game FPS shooter;26;3140510;50.0 M;4;0,2;0,5;0;GAME_ACTION;2332406;409344;156460;63835;178462;FALSE;164763;17951;20120;253805;6,5;20;
Mini Militia - Doodle Army 2;27;3133361;100.0 M;4;0,9;2,1;0;GAME_ACTION;2107121;271167;174340;107203;473528;FALSE;24059;123240;39825;400976;9;70;
Call of Duty®: Mobile - Garena;28;2695923;10.0 M;4;3,2;5,5;0;GAME_ACTION;1922909;223625;133776;79762;335849;FALSE;59406;36805;197090;342581;1,2;83;
CATS: Crash Arena Turbo Stars;29;2670589;50.0 M;4;1082,3;1;0;GAME_ACTION;1944649;272948;134237;69845;248907;FALSE;151559;173510;107876;439752;8,4;40;
